Year,SSP1-1.9:mid,SSP1-1.9:low,SSP1-1.9:high,SSP1-2.6:mid,SSP1-2.6:low,SSP1-2.6:high,SSP2-4.5:mid,SSP2-4.5:low,SSP2-4.5:high,SSP3-7.0:mid,SSP3-7.0:low,SSP3-7.0:high,SSP5-8.5:mid,SSP5-8.5:low,SSP5-8.5:high
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0.05,0.02,0.06,0.04,0.02,0.06,0.02,0.01,0.06,0.02,0.02,0.04,0.02,0.01,0.05
2007,0.09,0.04,0.12,0.07,0.04,0.11,0.05,0.02,0.11,0.05,0.04,0.09,0.05,0.02,0.1
2008,0.13,0.06,0.17,0.11,0.06,0.17,0.07,0.04,0.17,0.07,0.07,0.13,0.07,0.03,0.15
2009,0.17,0.08,0.23,0.14,0.07,0.22,0.1,0.05,0.22,0.1,0.09,0.18,0.1,0.04,0.2
2010,0.21,0.1,0.28,0.17,0.09,0.27,0.12,0.06,0.28,0.12,0.11,0.22,0.13,0.05,0.25
2011,0.25,0.11,0.34,0.21,0.11,0.32,0.15,0.08,0.33,0.15,0.13,0.27,0.15,0.07,0.3
2012,0.28,0.13,0.39,0.24,0.13,0.37,0.18,0.09,0.38,0.17,0.15,0.31,0.18,0.08,0.35
2013,0.32,0.15,0.44,0.27,0.14,0.42,0.2,0.11,0.43,0.2,0.17,0.36,0.21,0.1,0.4
2014,0.35,0.16,0.48,0.3,0.16,0.47,0.23,0.12,0.48,0.23,0.19,0.41,0.24,0.11,0.45
2015,0.38,0.17,0.53,0.33,0.18,0.51,0.26,0.14,0.53,0.25,0.21,0.45,0.27,0.13,0.5
2016,0.41,0.19,0.58,0.36,0.19,0.56,0.29,0.15,0.58,0.28,0.23,0.5,0.3,0.15,0.55
2017,0.44,0.2,0.62,0.39,0.21,0.6,0.31,0.17,0.63,0.31,0.25,0.55,0.33,0.17,0.61
2018,0.47,0.21,0.67,0.42,0.23,0.65,0.34,0.18,0.68,0.34,0.27,0.6,0.37,0.19,0.66
2019,0.49,0.22,0.71,0.44,0.24,0.69,0.37,0.2,0.73,0.37,0.29,0.64,0.4,0.21,0.71
2020,0.52,0.23,0.75,0.47,0.26,0.73,0.4,0.22,0.77,0.4,0.31,0.69,0.43,0.23,0.76
2021,0.54,0.24,0.79,0.5,0.27,0.77,0.43,0.23,0.82,0.42,0.33,0.74,0.47,0.26,0.81
2022,0.56,0.25,0.83,0.52,0.29,0.81,0.46,0.25,0.86,0.45,0.35,0.79,0.5,0.28,0.87
2023,0.58,0.26,0.87,0.55,0.3,0.85,0.49,0.27,0.91,0.48,0.37,0.84,0.54,0.31,0.92
2024,0.6,0.27,0.9,0.57,0.32,0.89,0.52,0.29,0.95,0.51,0.39,0.89,0.57,0.33,0.97
2025,0.62,0.27,0.94,0.59,0.33,0.93,0.55,0.31,0.99,0.54,0.41,0.94,0.61,0.36,1.03
